#Filter ID	λmean	λeff	λmin	λmax	Weff	ZP (Jy)	Obs. Facility	Instrument	Description
Gemini/Flamingos2.K-red	23170.3	23070.8	21380	24917	2533.4	593.1	Gemini	Flamingos2	Flamingos2 K-red
ISO/ISO_CVF.SW131	23172.3	23162.9	22437	23903	603.1	592.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 131
CFHT/CFHT.cfh5308	23195.5	23194.4	22934	23454	252.1	591.6	CFHT	 	cfh5308 CO
CFHT/Wircam.CO	23200.9	23198.5	22905	23503	400.3	591.4	CFHT	Wircam	Wircam CO filter
CFHT/CFHT.cfh8306	23200.9	23198.5	22905	23503	400.3	591.4	CFHT	 	cfh8306 WIRCam
CTIO/Spartan.CO	23312.3	23305.0	22799	23826	715.0	586.6	CTIO	Spartan	Spartan CO filter
LaSilla/SOFI.NB234	23359.9	23357.2	22962	23758	328.4	584.5	La Silla	SOFI	SOFI NB234
CFHT/CFHT.cfh6322	23375.3	23372.3	22978	23776	320.9	583.8	CFHT	 	cfh6322 General Purpose
CFHT/CFHT.cfh5325	23398.1	23380.3	22513	24434	996.6	582.9	CFHT	 	cfh5325 CO
ISO/ISO_CVF.SW132	23421.7	23412.2	22678	24160	609.7	581.9	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 132
Paranal/NACO.IB233	23427.8	23422.2	22920	23940	593.0	581.6	Paranal	NACO	NACO IB 2.33
CFHT/CFHT.cfh5326	23432.3	23414.4	22536	24459	992.9	581.5	CFHT	 	cfh5326 CO
WIYN/WHIRC.CO-w	23432.7	23418.0	22754	24107	1019.7	581.4	WIYN	WHIRC	WHIRC CO-w filter
HST/FOC_F96.F630M	23482.9	11719.9	2600	30000	14247.2	729.1	HST	FOC	F630M filter for HST FOC_F/96
CFHT/CFHT.cfh5322	23483.0	23036.8	19719	27491	5226.7	580.3	CFHT	 	cfh5322 Infrared K
Keck/OSIRIS.Kn5_imag	23521.8	23502.2	22703	24314	1115.7	577.6	Keck	OSIRIS	Keck OSIRIS imager Kn5 filter
Keck/OSIRIS.Kn5_spec	23522.8	23503.1	22706	24318	1111.7	577.6	Keck	OSIRIS	Keck OSIRIS spec Kn5 filter
SOFIA/FLITECAM.Kwide	23551.6	22657.8	18546	27824	6645.6	580.0	SOFIA	FLITECAM	FLITECAM Kwide filter
CFHT/CFHT.cfh5323	23575.7	23132.3	19835	27524	5227.9	576.1	CFHT	 	cfh5323 Infrared
ISO/ISO_CVF.SW133	23681.1	23671.4	22930	24427	616.2	570.8	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 133
HST/NICMOS2.F237M	23705.2	23669.5	22264	25324	1419.9	569.9	HST	NICMOS	F237M filter for HST NICMOS detector 2
Paranal/NACO.IB236	23711.3	23705.8	23220	24180	572.5	569.6	Paranal	NACO	NACO IB 2.36
Gemini/GSAOI.CO	23769.7	23757.9	22987	24631	803.0	567.1	Gemini	GSAOI	GSAOI CO filter, ID: ED187
ISO/ISO_CVF.SW134	23930.5	23920.6	23171	24685	622.8	560.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 134
Paranal/NACO.IB239	23965.4	23959.8	23480	24480	599.6	558.9	Paranal	NACO	NACO IB 2.39
HST/NICMOS3.F240M	23979.1	23924.6	22555	25329	1875.9	558.4	HST	NICMOS	F240M filter for HST NICMOS detector 3
CFHT/CFHT.cfh6321	23988.6	23984.9	23580	24402	359.9	558.0	CFHT	 	cfh6321 General Purpose
AKARI/IRC.N2	24106.1	22684.3	16800	29497	6973.8	559.8	AKARI	IRC	IRC NIR N2
ISO/ISO_CVF.SW135	24179.8	24169.8	23413	24942	629.3	550.1	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 135
Paranal/NACO.IB242	24312.1	24306.3	23840	24780	602.6	544.7	Paranal	NACO	NACO IB 2.42
ISO/ISO_CVF.SW136	24429.2	24419.0	23654	25199	635.9	539.9	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 136
Paranal/NACO.IB245	24594.1	24587.7	24100	25120	615.2	533.2	Paranal	NACO	NACO IB 2.45
CFHT/CFHT.cfh5327	24608.2	24589.3	23486	25757	979.7	532.7	CFHT	 	cfh5327 Infrared
ISO/ISO_CVF.SW137	24678.6	24668.2	23895	25457	642.4	529.8	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 137
CFHT/CFHT.cfh5328	24700.4	24680.7	23546	25884	974.3	529.0	CFHT	 	cfh5328 Infrared
Paranal/NACO.IB248	24924.5	24918.3	24420	25480	617.4	520.1	Paranal	NACO	NACO IB 2.48
ISO/ISO_CVF.SW138	24938.0	24927.5	24147	25724	649.0	519.6	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 138
JWST/NIRCam.F250M	25049.4	25005.9	23935	26178	1783.0	515.8	JWST	NIRCam	NIRCam F250M filter
ISO/ISO_CVF.SW139	25187.3	25176.7	24388	25981	655.5	510.1	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 139
SOFIA/FLITECAM.Klong	25236.4	24931.9	22154	28130	4480.3	509.7	SOFIA	FLITECAM	FLITECAM Klong filter
ISO/ISO_CVF.SW140	25436.7	25425.9	24629	26238	662.0	500.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 140
ISO/ISO_CVF.SW141	25686.1	25674.3	24871	26496	668.6	491.0	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 141
ISO/ISO_CVF.SW142	25935.5	25921.8	25112	26753	675.1	479.0	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 142
ISO/ISO_CVF.SW143	26194.8	26183.0	25364	27020	681.7	466.8	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 143
ISO/ISO_CVF.SW144	26444.2	26435.4	25605	27278	688.2	460.3	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 144
ISO/ISO_CVF.SW145	26693.6	26685.1	25846	27535	694.8	456.2	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 145
ISO/ISO_CVF.SW146	26943.0	26934.2	26088	27792	701.3	452.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 146
ISO/ISO_CVF.SW147	27192.3	27180.8	26329	28050	707.9	446.5	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 147
ISO/ISO_CVF.SW148	27451.7	27439.0	26581	28317	714.4	437.2	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 148
ISO/ISO_CVF.SW149	27701.1	27691.3	26822	28574	721.0	430.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 149
JWST/NIRCam.F277W	27844.6	27279.5	23673	32203	6614.6	430.2	JWST	NIRCam	NIRCam F277W filter
ISO/ISO.SW4	27915.1	27564.8	23165	31296	4671.3	426.7	ISO	ISOCam	ISO SW4 filter
ISO/ISO_CVF.SW066	27915.1	27564.8	23165	31296	4671.3	426.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 066
ISO/ISO_CVF.SW150	27950.5	27941.3	27063	28832	727.5	426.6	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 150
JWST/NIRISS.F277W	28000.4	27395.2	23717	32312	6448.3	426.2	JWST	NIRISS	NIRISS F277W filter
ISO/ISO_CVF.SW151	28199.8	28187.6	27305	29089	734.1	421.1	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 151
ISO/ISO_CVF.SW152	28459.2	28444.5	27556	29356	740.6	411.6	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 152
ISO/ISO_CVF.SW153	28708.6	28696.1	27798	29613	747.1	402.9	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 153
ISO/ISO_CVF.SW154	28958.0	28948.7	28039	29871	753.7	398.2	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 154
ISO/ISO_CVF.SW155	29207.3	29197.7	28280	30128	760.2	395.2	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 155
ISO/ISO_CVF.SW156	29456.7	29445.2	28522	30385	766.8	390.8	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 156
ISO/ISO_CVF.SW157	29716.1	29702.7	28773	30653	773.3	384.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 157
JWST/NIRCam.F300M	29940.4	29818.4	27704	32506	3255.6	377.2	JWST	NIRCam	NIRCam F300M filter
ISO/ISO_CVF.SW158	29965.4	29950.1	29015	30910	779.9	376.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 158
ISO/ISO_CVF.SW159	30214.8	30199.6	29256	31167	786.4	368.2	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 159
LBT/LMIRCam.H2O-Ice1_300K	30368.6	30335.7	29025	31864	1579.0	367.1	LBT	LMIRCam	LMIRCam H2O-Ice1 filter (300K)
ISO/ISO_CVF.SW160	30464.2	30452.4	29497	31425	793.0	361.9	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 160
ISO/ISO.SW7	30484.6	30363.9	26550	32922	2965.0	365.9	ISO	ISOCam	ISO SW7 filter
ISO/ISO_CVF.SW051	30484.6	30363.9	26550	32922	2965.0	365.9	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 051
SOFIA/FLITECAM.ICE_308	30509.4	30482.5	29384	31624	1539.9	363.8	SOFIA	FLITECAM	FLITECAM ICE_308 filter
Gemini/NIRI.H2Oice-G0230w	30564.7	30533.2	29155	32300	1571.0	362.6	Gemini	NIRI	NIRI H2Oice, G0230w
LBT/LMIRCam.H2O-Ice1_77K	30568.6	30537.6	29225	32064	1579.0	362.6	LBT	LMIRCam	LMIRCam H2O-Ice1 filter (77K)
LBT/LMIRCam.H2O-Ice2_300K	30684.6	30660.0	29333	32065	1357.3	359.7	LBT	LMIRCam	LMIRCam H2O-Ice2 filter (300K)
ISO/ISO_CVF.SW161	30713.6	30703.9	29739	31682	799.5	358.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 161
Subaru/CIAO.H2Oice	30877.1	30844.2	28878	32750	1469.4	356.1	Subaru	CIAO	CIAO H2O ice
CFHT/CFHT.cfh5501	30887.0	30873.1	29726	32000	1107.2	356.1	CFHT	 	cfh5501 Infrared
CFHT/CFHT.cfh5502	30891.8	30878.2	29727	32000	1103.9	356.1	CFHT	 	cfh5502 Infrared
Gemini/NIRI.Lsort-G0212	30909.8	30716.2	27983	33000	3891.5	356.6	Gemini	NIRI	NIRI L order sorting filter G0212
LBT/LMIRCam.H2O-Ice2_77K	30950.1	30925.4	29554	32377	1402.8	354.9	LBT	LMIRCam	LMIRCam H2O-Ice2 filter (77K)
ISO/ISO_CVF.SW162	30972.9	30962.1	29990	31949	806.1	355.6	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 162
ISO/ISO_CVF.SW163	31222.3	31210.0	30231	32206	812.6	351.5	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 163
CFHT/CFHT.cfh5504	31253.1	31247.2	30588	31893	671.7	351.1	CFHT	 	cfh5504 Infrared
CFHT/CFHT.cfh5503	31256.5	31250.4	30572	31960	675.7	351.1	CFHT	 	cfh5503 Infrared
ISO/ISO_CVF.SW164	31471.7	31458.7	30473	32464	819.1	346.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 164
LBT/LMIRCam.L-Cont1_300K	31494.8	31487.6	30813	32120	726.1	346.3	LBT	LMIRCam	LMIRCam L-Cont1 filter (300K)
ISO/ISO_CVF.SW165	31721.1	31707.8	30714	32721	825.7	341.8	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 165
LBT/LMIRCam.L-Cont1_77K	31787.4	31779.8	31083	32434	750.4	340.5	LBT	LMIRCam	LMIRCam L-Cont1 filter (77K)
ISO/ISO_CVF.SW166	31980.4	31966.8	30966	32988	832.2	336.6	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 166
ISO/ISO_CVF.SW167	32229.8	32215.2	31207	33246	838.8	331.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 167
JWST/NIRCam.F323N	32369.3	32367.3	32046	32761	384.9	329.2	JWST	NIRCam	NIRCam F323N filter
ISO/ISO_CVF.SW168	32479.2	32462.9	31448	33503	845.3	325.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 168
LBT/LMIRCam.PAH1_300K	32539.1	32535.1	32081	33014	517.3	325.4	LBT	LMIRCam	LMIRCam PAH1 filter (300K)
ISO/ISO_CVF.SW169	32728.6	32712.0	31690	33760	851.9	318.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 169
AKARI/IRC.N3	32761.3	31302.7	25370	39870	8605.4	325.5	AKARI	IRC	IRC NIR N3
Paranal/ISAAC.NB328	32762.0	32752.7	31951	33636	574.3	317.0	Paranal	ISAAC	ISAAC NB 3.28
LBT/LMIRCam.N03309-8_300K	32764.1	32732.0	31213	34232	1548.8	319.3	LBT	LMIRCam	LMIRCam N03309-8 filter (300K)
LBT/LMIRCam.PAH1_77K	32866.7	32860.8	32394	33357	534.7	312.6	LBT	LMIRCam	LMIRCam PAH1 filter (77K)
LBT/LMIRCam.L-Short_300K	32871.1	32702.7	29992	35922	3925.9	319.6	LBT	LMIRCam	LMIRCam L-Short filter (300K)
Gemini/NIRI.hydrocarbon-G0231	32932.8	32927.5	32173	33574	530.1	311.8	Gemini	NIRI	NIRI hydrocarbon, G0231
ISO/ISO_CVF.SW170	32977.9	32964.1	31931	34018	858.4	313.3	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 170
SOFIA/FLITECAM.PAH_329	33012.9	33005.0	32330	33651	871.4	312.6	SOFIA	FLITECAM	FLITECAM PAH_329 filter
ISO/PHT-P.3_29mu	33043.2	32996.1	31147	35208	1828.4	314.8	ISO	PHT	ISO PHT-P 3.29 μm filter.
ISO/ISO.SW2	33075.0	32989.4	29600	35879	2438.5	315.1	ISO	ISOCam	ISO SW2 filter
ISO/ISO_CVF.SW036	33075.0	32989.4	29600	35879	2438.5	315.1	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 036
LBT/LMIRCam.N03309-8_77K	33099.2	33068.4	31496	34615	1600.7	313.4	LBT	LMIRCam	LMIRCam N03309-8 filter (77K)
Subaru/CIAO.PAH	33196.2	33195.5	32656	33719	538.8	308.8	Subaru	CIAO	CIAO PAH
LBT/LMIRCam.L-Short_77K	33209.8	33032.6	30235	36362	4057.4	313.7	LBT	LMIRCam	LMIRCam L-Short filter (77K)
Gemini/NIRI.hydrocarbon-G0231w	33236.8	33235.1	32477	33878	530.1	309.6	Gemini	NIRI	NIRI hydrocarbon, G0231w
ISO/ISO_CVF.SW171	33237.3	33226.3	32183	34285	865.0	309.9	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 171
JWST/NIRCam.F322W2	33335.0	30736.2	23851	41235	11332.4	318.6	JWST	NIRCam	NIRCam F322W2 filter
ISO/ISO_CVF.SW172	33486.7	33475.5	32424	34542	871.5	307.6	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 172
WISE/WISE.W1	33526.0	33526.0	27541	38724	6626.4	309.5	WISE	 	WISE W1 filter
LBT/LMIRCam.PAH2_300K	33653.2	33650.1	33177	34103	498.0	306.5	LBT	LMIRCam	LMIRCam PAH2 filter (300K)
JWST/NIRCam.F335M	33675.2	33538.2	31203	36442	3389.4	305.6	JWST	NIRCam	NIRCam F335M filter
ISO/ISO_CVF.SW173	33736.1	33723.3	32665	34799	878.1	304.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 173
ISO/ISO_CVF.SW174	33985.4	33971.7	32907	35057	884.6	301.1	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 174
LBT/LMIRCam.PAH2_77K	34018.1	34014.9	33525	34482	514.5	300.6	LBT	LMIRCam	LMIRCam PAH2 filter (77K)
ISO/ISO_CVF.SW175	34234.8	34220.6	33148	35314	891.2	297.2	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 175
GCPD/JHKLMN.Lpp	34370.7	33758.8	29071	41500	7010.1	295.9	 	 	Lpp filter in GCPD-JHKLMN system (ADPS)
Generic/Johnson_UBVRIJHKL.LII	34370.7	33758.8	29071	41500	7010.1	295.9	 	 	Johnson UBVRIJHKL system, LII filter
LBT/LMIRCam.L-Cont2_300K	34401.5	34377.1	33215	35518	1515.2	294.6	LBT	LMIRCam	LMIRCam L-Cont2 filter (300K)
ISO/ISO_CVF.SW176	34494.2	34479.8	33400	35581	897.7	293.2	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 176
ISO/ISO_CVF.SW177	34743.6	34729.1	33641	35839	904.3	289.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 177
LBT/LMIRCam.L-Spec_300K	34780.0	33119.8	27411	42358	13090.1	292.7	LBT	LMIRCam	LMIRCam L-Spec filter (300K)
LBT/LMIRCam.L-Cont2_77K	34791.5	34765.6	33565	35945	1565.9	288.6	LBT	LMIRCam	LMIRCam L-Cont2 filter (77K)
MKO/NSFCam.L	34981.6	34630.8	31286	38972	6056.4	285.4	MKO	NSFCam	Mauna kea Obsevatory. NSFCam L filter
ISO/ISO_CVF.SW178	34992.9	34978.3	33882	36096	910.8	285.6	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 178
LBT/LMIRCam.L-Spec_77K	35182.7	33428.8	27567	43015	13528.5	286.8	LBT	LMIRCam	LMIRCam L-Spec filter (77K)
ISO/ISO_CVF.SW179	35242.3	35227.5	34124	36353	917.3	281.9	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 179
SOFIA/FLITECAM.L	35376.8	35077.5	30851	39580	5260.2	279.2	SOFIA	FLITECAM	FLITECAM L filter
GCPD/JHKLMN.Lp	35395.4	34450.2	29071	42750	8800.0	281.4	 	 	Lp filter in GCPD-JHKLMN system (ADPS)
Generic/Johnson_UBVRIJHKL.LI	35395.4	34450.2	29071	42750	8800.0	281.4	 	 	Johnson UBVRIJHKL system, LI filter
ISO/ISO_CVF.SW180	35501.7	35486.7	34375	36621	923.9	278.0	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 180
LBT/LMIRCam.L-Cont3_300K	35509.2	35501.4	34831	36163	852.2	277.9	LBT	LMIRCam	LMIRCam L-Cont3 filter (300K)
Spitzer/IRAC.I1	35572.6	35075.1	31296	39614	6836.2	277.2	Spitzer	IRAC	IRAC I1
ISO/ISO_CVF.SW181	35751.1	35736.0	34617	36878	930.4	274.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 181
COBE/DIRBE.3p5m	35796.4	34914.2	29630	42060	8242.1	275.2	COBE	DIRBE	DIRBE 3.5 micron filter
ISO/PHT-P.3_6mu	35899.5	34991.4	29559	41610	8139.2	273.7	ISO	PHT	ISO PHT-P 3.6 μm filter.
JWST/NIRCam.F356W	35934.5	35287.4	30733	40801	7239.3	272.6	JWST	NIRCam	NIRCam F356W filter
LBT/LMIRCam.L-Cont3_77K	35936.2	35928.0	35236	36612	880.7	271.8	LBT	LMIRCam	LMIRCam L-Cont3 filter (77K)
ISO/ISO_CVF.SW182	36000.4	35985.2	34858	37135	937.0	270.9	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 182
SOFIA/FLITECAM.NbL	36035.1	36001.0	34738	37350	1829.2	270.4	SOFIA	FLITECAM	FLITECAM NbL filter
ISO/ISO.SW1	36164.4	35120.3	25953	43787	8954.4	270.3	ISO	ISOCam	ISO SW1 filter
ISO/ISO_CVF.SW081	36164.4	35120.3	25953	43787	8954.4	270.3	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 081
ISO/ISO_CVF.SW291	36164.4	35120.3	25953	43787	8954.4	270.3	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 291
ISO/ISO_CVF.SW183	36249.8	36234.3	35099	37392	943.5	267.3	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 183
JWST/NIRISS.F356W	36251.8	35471.6	30737	41664	8566.5	268.5	JWST	NIRISS	NIRISS F356W filter
JWST/NIRCam.F360M	36298.1	36148.4	33260	39037	3584.8	266.1	JWST	NIRCam	NIRCam F360M filter
ISO/ISO_CVF.SW184	36499.2	36482.9	35341	37650	950.1	263.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 184
LBT/LMIRCam.L_300K	36572.4	36273.3	32962	40349	5681.0	263.1	LBT	LMIRCam	LMIRCam L filter (300K)
ISO/ISO_CVF.SW185	36758.6	36740.9	35592	37917	956.6	259.5	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 185
ISO/ISO_CVF.SW186	37007.9	36989.3	35833	38174	963.2	255.1	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 186
LBT/LMIRCam.L_77K	37035.1	36720.3	33303	40939	5871.3	257.1	LBT	LMIRCam	LMIRCam L filter (77K)
ISO/ISO.SW6	37101.0	36829.4	33258	42962	4888.3	256.1	ISO	ISOCam	ISO SW6 filter
ISO/ISO_CVF.SW021	37101.0	36829.4	33258	42962	4888.3	256.1	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 021
ISO/ISO_CVF.SW187	37257.3	37239.7	36075	38432	969.7	250.8	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 187
Paranal/NACO.NB374	37448.0	37445.3	36802	38087	477.9	245.0	Paranal	NACO	NACO NB 3.74
LBT/LMIRCam.L-Cont4_300K	37461.3	37426.5	35942	38921	1881.5	249.6	LBT	LMIRCam	LMIRCam L-Cont4 filter (300K)
ISO/ISO_CVF.SW188	37506.7	37491.9	36316	38689	976.3	247.6	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 188
MMT/Clio.Lp_MKO	37569.6	37113.9	33164	41999	7120.5	250.5	MMT	Clio	Clio Lp MKO filter
Subaru/CIAO.Lp	37741.3	37301.7	33057	42254	6829.6	248.3	Subaru	CIAO	CIAO L'
MKO/NSFCam.Lp	37741.3	37301.7	33057	42254	6829.3	248.3	MKO	NSFCam	Mauna kea Obsevatory. NSFCam Lp filter
NIRT/NSFCAM.Lp	37741.3	37301.7	33057	42254	6829.0	248.3	NIRT	NSFCAM	NSFCAM Lp
Subaru/IRCS.Lp	37741.6	37302.0	33057	42254	6828.6	248.3	Subaru	IRCS	IRCS L'
ISO/ISO_CVF.SW189	37756.1	37743.0	36558	38946	982.8	245.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 189
Gemini/NIRI.Lprime-G0207w	37760.2	37321.1	33206	42232	6835.2	248.1	Gemini	NIRI	NIRI Lprime, G0207w
Paranal/ISAAC.L	37787.8	37485.2	34233	41449	5767.6	247.2	Paranal	ISAAC	ISAAC L
Keck/NIRC2.Lp	37869.2	37433.0	33266	42202	6325.4	246.7	Keck	NIRC2	NIRC2 Lp
LBT/LMIRCam.L-Cont4_77K	37953.8	37920.7	36384	39462	1944.3	243.7	LBT	LMIRCam	LMIRCam L-Cont4 filter (77K)
ISO/ISO_CVF.SW190	38015.4	38001.9	36809	39214	989.4	243.4	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 190
Paranal/ISAAC.NB380	38037.7	38031.5	37282	38859	672.7	243.7	Paranal	ISAAC	ISAAC NB 3.80
Paranal/NACO.Lp	38050.3	37697.8	34000	42700	6236.3	244.2	Paranal	NACO	NACO L'
ISO/ISO_CVF.SW191	38264.8	38250.0	37050	39471	995.9	241.1	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 191
JWST/NIRISS.F380M	38298.8	38263.8	36809	39805	2019.6	239.7	JWST	NIRISS	NIRISS F380M filter
Gemini/TReCS.l	38457.1	38154.3	34610	42086	5696.0	239.2	Gemini	TReCS	TReCS l
ISO/ISO_CVF.SW192	38514.2	38498.3	37292	39728	1002.4	238.5	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 192
MMT/MIRAC.L_38_77K_filter	38522.5	38179.9	34388	42584	5907.0	238.5	MMT	MIRAC	MIRAC L_38 filter (77K) (filter only)
MMT/MIRAC.L_38_77K	38599.9	38257.8	34432	42613	5628.8	237.6	MMT	MIRAC	MIRAC L_38 filter (77K) (full)
SOFIA/FLITECAM.Lprime	38601.3	38310.7	33800	42727	5369.5	237.4	SOFIA	FLITECAM	FLITECAM Lprime filter
ISO/ISO_CVF.SW193	38763.5	38747.0	37533	39985	1009.0	235.6	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 193
ISO/ISO.SW9	38785.8	38691.4	36391	43602	2214.7	235.3	ISO	ISOCam	ISO SW9 filter
ISO/ISO_CVF.SW351	38785.8	38691.4	36391	43602	2214.7	235.3	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 351
LBT/LMIRCam.N03946-4_300K	38947.3	38892.7	36894	41067	2366.3	233.5	LBT	LMIRCam	LMIRCam N03946-4 filter (300K)
ISO/ISO_CVF.SW194	39022.9	39006.5	37785	40253	1015.5	232.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 194
ISO/ISO_CVF.SW195	39272.3	39256.1	38026	40510	1022.1	230.0	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 195
LBT/LMIRCam.N03946-4_77K	39489.6	39428.0	37367	41680	2445.6	226.9	LBT	LMIRCam	LMIRCam N03946-4 filter (77K)
ISO/ISO_CVF.SW196	39521.7	39504.6	38267	40767	1028.6	227.3	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 196
ISO/ISO_CVF.SW197	39771.0	39752.0	38509	41025	1035.2	224.2	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 197
MMT/Clio.3to5	39914.4	36791.0	29005	50925	19277.5	230.6	MMT	Clio	Clio 2to5 filter
LBT/LMIRCam.br-alpha-off_300K	39994.2	39986.4	39295	40714	709.2	221.2	LBT	LMIRCam	LMIRCam br-alpha-off filter (300K)
ISO/ISO_CVF.SW198	40020.4	40000.4	38750	41282	1041.7	220.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 198
Gemini/NIRI.BrAlphaCont-G0237w	40083.1	40075.3	39338	40815	698.1	219.6	Gemini	NIRI	NIRI BrAlphaCont, G0237w
LBT/LMIRCam.br-alpha-off_77K	40194.2	40186.2	39495	40914	709.2	217.3	LBT	LMIRCam	LMIRCam br-alpha-off filter (77K)
ISO/ISO_CVF.SW199	40279.8	40261.2	39002	41549	1048.3	217.2	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 199
LBT/LMIRCam.br-alpha_300K	40515.0	40510.3	39785	41359	749.9	213.7	LBT	LMIRCam	LMIRCam br-alpha filter (300K)
JWST/NIRCam.F405N	40517.4	40515.8	40098	40966	454.9	212.5	JWST	NIRCam	NIRCam F405N filter
ISO/ISO_CVF.SW200	40529.2	40513.4	39243	41807	1054.8	214.7	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 200
Paranal/NACO.NB405	40558.6	40555.4	39878	41242	616.4	213.1	Paranal	NACO	NACO NB 4.05
ISO/ISO.SW8	40559.6	40527.3	38755	43234	1359.5	215.0	ISO	ISOCam	ISO SW8 filter
ISO/ISO_CVF.SW006	40559.6	40527.3	38755	43234	1359.5	215.0	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 006
Paranal/ISAAC.NB407	40678.1	40672.5	39626	41771	750.5	213.1	Paranal	ISAAC	ISAAC NB 4.07
LBT/LMIRCam.br-alpha_77K	40719.3	40715.4	39985	41559	752.8	212.9	LBT	LMIRCam	LMIRCam br-alpha filter (77K)
Gemini/NIRI.BrAlpha-G0238w	40758.9	40757.0	40032	41500	711.3	212.8	Gemini	NIRI	NIRI BrAlpha, G0238w
ISO/ISO_CVF.SW201	40778.5	40764.2	39484	42064	1061.4	213.0	ISO	ISOCam	ISO SW Circular Variable Filters, wheel position 201
JWST/NIRCam.F410M	40886.5	40723.1	37764	44048	4262.9	213.3	JWST	NIRCam	NIRCam F410M filter
