#Filter ID	λmean	λeff	λmin	λmax	Weff	ZP (Jy)	Obs. Facility	Instrument	Description
CTIO/CTIO.3912-196	3914.0	3916.3	3760	4080	125.4	3565.7	CTIO	 	CTIO 3912/196
CTIO/MosaicII.C	3914.5	4004.0	3146	4820	1029.5	2919.6	CTIO	MosaicII	CTIO C Washington c6006
GCPD/Washington.C_pe	3915.5	4003.5	3110	4816	1020.2	2926.6	 	 	Washington C filter in GCPD, photoelectric version (ADPS)
KPNO/Mosaic.C	3916.8	4002.6	3194	4823	985.3	2921.1	KPNO	Mosaic	C Washington k1006
ING/ING.238	3917.4	3919.7	3864	3969	53.6	3874.3	ING	 	ING filter 238, NOVA392
NOT/NOT.134	3919.1	3922.2	3876	3968	59.1	3806.0	NOT	 	NOT filter 134, 391_7
GCPD/Cape.Uc	3925.0	3925.0	3276	5003	503.5	1194.8	 	 	Cape Johnson U filter in GCPD (revised by Mann & von Braun 2014)
Paranal/FORS1.ESO1039	3930.3	3973.1	3487	4616	534.0	3175.7	Paranal	FORS1	FORS1 ESO#1039, Gunn v La
LaSilla/EMMI.OII_15000	3930.4	3930.5	3856	4017	78.6	3731.0	LaSilla	EMMI	EMMI OII_15000, ESO#651 (filter only)
OSN/Lines.CaII_3950_z1	3932.1	3932.0	3853	4015	71.7	3775.9	OSN	 	CaII_3950 filter, zone 1, OSN #e03
CAHA/ALHAMBRA.F396W_2	3937.6	3947.8	3752	4124	315.8	3557.5	CAHA	LAICA	ALHAMBRA F396W filter, quad 2
CAHA/ALHAMBRA.F396W	3937.9	3948.6	3754	4122	309.1	3577.8	CAHA	LAICA	ALHAMBRA F396W filter
CAHA/ALHAMBRA.F396W_1	3937.9	3948.6	3754	4122	309.1	3577.8	CAHA	LAICA	ALHAMBRA F396W filter, quad 1
GCPD/Cape.Uc_ADPS	3938.2	3966.1	3438	4748	373.1	3268.9	 	 	Cape Johnson U filter in GCPD (ADPS)
CAHA/ALHAMBRA.F396W_3	3938.9	3949.0	3753	4125	320.2	3550.5	CAHA	LAICA	ALHAMBRA F396W filter, quad 3
OAJ/JPLUS.J0395	3939.7	3938.6	3871	4009	98.1	3631.0	OAJ	T80Cam	J-PLUS g J0395 (full transmission)
CAHA/ALHAMBRA.F396W_4	3943.2	3952.3	3758	4124	295.8	3620.7	CAHA	LAICA	ALHAMBRA F396W filter, quad 4
CAHA/ALHAMBRA.A394M	3944.2	3954.3	3754	4122	291.8	3616.7	CAHA	LAICA	ALHAMBRA A394M filter
CAHA/CAHA.395_6	3945.8	3943.7	3800	4022	60.9	3801.9	CAHA	 	CAHA 395.6
OAJ/JPLUS.F0395_filter	3948.1	3946.0	3881	4017	96.3	3631.0	OAJ	T80Cam	J-PLUS Ca H+K (filter only)
Special/Meteor.C2	3950.0	3945.8	3915	3985	70.1	3639.7	 	 	Meteor project C2 filter. Main components: CaII(1)
LaSilla/EMMI.Spec_394	3951.5	3949.5	3890	4019	39.9	3749.3	LaSilla	EMMI	EMMI Spec 394.9, ESO#723 (filter only)
HST/WFC3_UVIS2.F390W	3952.5	4020.8	3254	4470	827.0	3137.2	HST	WFC3	F390W filter for HST WFC3_UVIS2
CFHT/CFHT.cfh9303	3953.2	3951.0	3886	4022	94.2	3785.7	CFHT	Megaprime	cfh9303, Megaprime CaHK
CFHT/Megaprime.CaHK	3953.2	3951.0	3886	4022	94.2	3785.7	CFHT	Megaprime	Megaprime CaHK, cfh9303
HST/WFC3_UVIS2.F395N	3955.4	3952.6	3895	4018	85.4	3732.9	HST	WFC3	F395N filter for HST WFC3_UVIS2
HST/WFC3_UVIS1.F395N	3955.4	3952.7	3895	4018	85.4	3732.3	HST	WFC3	F395N filter for HST WFC3_UVIS1
HST/WFC3_UVIS1.F390W	3955.6	4023.2	3255	4470	813.9	3149.3	HST	WFC3	F390W filter for HST WFC3_UVIS1
LICK/LICK.3953_60	3964.5	3963.4	3851	4057	74.6	3642.3	LICK	 	LICK, 3953_60
LaSilla/WFI.ESO865_filter	3965.2	3966.7	3857	4081	127.2	3879.3	La Silla	WFI	WFI ESO#865 (filter only)
NOT/NOT.136	3965.3	3963.8	3920	4013	65.0	3534.8	NOT	 	NOT filter 136, 397_6
LaSilla/WFI.ESO865	3966.9	3968.4	3859	4082	122.8	3886.9	La Silla	WFI	WFI ESO#865 (full)
OSN/Lines.CaII_3950_z2	3970.2	3970.8	3878	4070	88.4	3805.0	OSN	 	CaII_3950 filter, zone 2, OSN #e03
IAC80/CAMELOT.iac76	3972.6	3973.0	3904	4043	72.8	3650.2	IAC80	CAMELOT	CAMELOT iac76 [NeIII],OII, Heps interference filter
KPNO/KP4in.Gunn_v	3978.4	4007.8	3525	4697	500.0	3427.5	KPNO	KP4in	Gunn v
HST/WFPC1-WF.F157W	3981.8	2967.7	1239	9341	1263.6	1205.9	HST	WFPC1	F157W filter for HST WF/PC-1 wide field camera (detector 2)
LICK/LICK.3972_60	3981.9	3984.1	3901	4050	65.1	3680.9	LICK	 	LICK,.3972_60
Scorpio/Comet.CN_3980	3983.0	3985.5	3925	4048	38.4	3500.4	Scorpio	 	SCORPIO CN filter for Comet molecular bands
CTIO/CTIO.3980-400	3991.4	4000.8	3718	4284	380.5	3729.5	CTIO	 	CTIO 3980/400
